Registry,Case,M,K,N,Block,NNZ_Blocks,Avg_ms,Avg_TFLOPs,Max_TFLOPs,Avg_GBs,Max_GBs
2,parametric_row_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,17.382,3.151,3.151,15.828,15.830
2,parametric_col_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,1.304,42.003,42.042,211.025,211.220
2,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,1.323,41.388,41.391,207.934,207.951
2,parametric_M8192_N8192_K8192_R256_C256_dppm50000,8192,8192,8192,256,51,2.384,22.969,22.972,115.396,115.411
3,parametric_row_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,17.382,6.301,6.301,16.213,16.214
3,parametric_col_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,2.378,46.061,46.061,118.519,118.519
3,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,2.393,45.776,45.788,117.784,117.816
3,parametric_M8192_N8192_K8192_R256_C256_dppm100000,8192,8192,8192,256,102,3.453,31.722,31.728,81.623,81.638
4,parametric_row_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,17.381,15.815,15.816,17.375,17.376
4,parametric_col_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,4.532,60.658,60.688,66.641,66.674
4,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,5.077,54.144,54.164,59.484,59.507
4,parametric_M8192_N8192_K8192_R256_C256_dppm250000,8192,8192,8192,256,256,6.675,41.177,41.185,45.239,45.247
5,parametric_row_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,17.382,31.628,31.634,19.305,19.308
5,parametric_col_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,8.811,62.397,62.401,38.084,38.087
5,parametric_multi_diag_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,10.419,52.766,52.769,32.206,32.208
5,parametric_M8192_N8192_K8192_R256_C256_dppm500000,8192,8192,8192,256,512,12.032,45.690,45.695,27.887,27.890
13,parametric_row_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,17.390,3.164,3.165,15.823,15.825
13,parametric_col_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,1.305,42.153,42.182,210.769,210.914
13,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,205,1.326,41.514,41.530,207.573,207.654
13,parametric_M8192_N8192_K8192_R128_C128_dppm50000,8192,8192,8192,128,204,2.918,18.769,18.776,94.295,94.331
14,parametric_row_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,17.371,6.336,6.396,16.226,16.380
14,parametric_col_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,2.112,52.099,52.104,133.432,133.444
14,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,410,2.127,51.738,51.772,132.506,132.594
14,parametric_M8192_N8192_K8192_R128_C128_dppm100000,8192,8192,8192,128,409,3.451,31.816,31.825,81.675,81.696
15,parametric_row_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,17.388,15.808,15.810,17.368,17.369
15,parametric_col_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,4.536,60.606,60.636,66.584,66.618
15,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,4.812,57.128,57.152,62.763,62.789
15,parametric_M8192_N8192_K8192_R128_C128_dppm250000,8192,8192,8192,128,1024,7.215,38.097,38.114,41.855,41.874
16,parametric_row_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,17.434,31.533,31.618,19.247,19.298
16,parametric_col_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,8.816,62.359,62.368,38.062,38.067
16,parametric_multi_diag_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,10.459,52.561,52.576,32.082,32.091
16,parametric_M8192_N8192_K8192_R128_C128_dppm500000,8192,8192,8192,128,2048,8.828,62.271,62.297,38.008,38.024
